sitio_noticias,fecha,seccion,titular,cuerpo,url
La Razón,2026-07-14,Columnistas,Acercando a Bolivia y Paraguay,"Bolivia y Paraguay comparten mucho más que una frontera; se integran por una historia, un territorio, una vocación de integración y el ecosistema vital del Gran Chaco. En un contexto global que demanda resiliencia y cooperación, es de fundamental importancia que los pueblos de ambas naciones, en sus niveles de ciudadanía y sector gubernamental, construyan una agenda conjunta de desarrollo sintetizados en tres ámbitos, el turismo como motor de cohesión social y cultural, el comercio binacional que fortalezca nuestras economías en sus aspectos complementarios, y, la conservación del Gran Chaco, territorio que exige un manejo sostenible y coordinado para garantizar el futuro de nuestros pueblos.

Constatamos que necesitamos abrir un espacio de diálogo, conocimiento, encuentro e intercambio de emprendimientos y acciones en turismo sostenible, desarrollo comercial y cultural entre actores bolivianos y paraguayos. Para avanzar, un grupo de organizaciones de la sociedad civil bolivianas y paraguayas, hemos decidido organizar un Conversatorio para reunir instituciones públicas, privadas, de cooperación y del tercer sector, para realizar una puesta en común de experiencias binacionales ligadas al desarrollo sostenible y la economía.

Mediante mesas de diálogo integradas por expertos, decisores públicos, empresarios, académicos y líderes de opinión, se ejecutará un diálogo con actores sectoriales y desde la realidad de nuestros territorios.

Sabemos que los encuentros empresariales y el que llevan adelante las agendas gubernamentales, priorizan legítimamente acuerdos macroeconómicos; nosotros estamos convencidos que debe fortalecerse también, la relación de actores territoriales que viven, producen y enfrentan el cambio climático, el despoblamiento y la migración. En este trabajo que necesita resultados, hemos encontrado que el Turismo Sostenible tiene una capacidad cohesionadora en lo social y genera complementariedad territorial que puede convirtirse en el eje integrador para facilitar espacios de conocimiento e intercambio. El turismo profundiza estrategias humanas y sociales basadas en el respeto, la tolerancia y la cultura de nuestros pueblos.

El miércoles 15 de julio, en Asunción del Paraguay, el CEPAD, NATIVA, Redes Chaco, SUNU, la AECID de Paraguay, y el apoyo decidido de la Cámara Binacional de Comercio e Industria Boliviano Paraguaya, reuniremos una combinación de personas e instituciones para conversar temas que nos entusiasman en torno a la visión estratégica del desarrollo territorial y ambiental, la potencia aglutinadora del Gran Chaco, y la visión de Jacinto Santa María, Ministro de la Secretaría Nacional de Turismo del Paraguay para compartir los logros paraguayos; estarán presentes una selección de personalidades que han asumido el reto de acercar a nuestros pueblos, invirtiendo y soñando.

Resulta que la Cámara tiene más de 250 integrantes que ya están trabajando en los dos países, en temas relacionados a Transporte y Logística, Desarrollo Inmobiliario y Construcción, Finanzas, Seguros y Asesoría, Industria, Salud, Tecnología y Servicios, TComercio, Turismo, Arte y Cultura, y Liderazgo Empresarial.

Café Typica compartirá una degustación de café, Olga Fischer, Presidenta de la Cámara Paraguaya de Turismo de las Misiones Jesuíticas y de la Ruta Jesuítica del Paraguay nos pondrá al día en la agenda que venimos construyendo, Juan Pita desde la cooperación española en Paraguay y Yan Speranza de la Fundación Moisés Bertoni y Gabriel Baracatt desde la Fundación AVINA, nos ayudarán a comprender mejor lo que está pasando en nuestros territorios. La preocupación sobre la integración aérea, el crecimiento urbanístico y la construcción turística de Tarija con Sergio Lea Plaza, asesor de la Gobernación de Tarija y coordinador del equipo Tarija Dialoga. estarán presentes para compartir retos y potencialidades.

Este desembarco en Asunción, está siendo posible gracias al liderazgo estratégico de Iván Arnold, José Luis Camacho y Mariana Franco, y al apoyo operativo de Ariadna Gil Pereira, Marcelo Rengel, Jimena Grock, Olga Fischer y Elizabeth Castro, que respondieron a la provocación del CEPAD e hicieron suya la iniciativa.

Da gusto decir que vamos por buen camino.",https://larazon.bo/opinion/columnistas/2026/07/14/acercando-a-bolivia-y-paraguay/
La Razón,2026-07-14,"Columnistas, Noticias",La era del fin de la lectura ha llegado,"Sócrates – eufórico y desaforado – fue el primero en levantar la voz en contra de los papiros y de la eventual aparición de la primera biblioteca de la humanidad en Alejandría. ¡Cómo podía permitirse semejante afrenta contra el conocimiento y su cimentación diaria gracias al diálogo! ¡Cómo era posible que se “atrape” o “secuestre” el conocimiento en unos adminículos guardados en estanterías dentro de un edificio en desmedro del saber colectivo, de la discusión y del intercambio de hallazgos de la vida cotidiana! ¡Cómo era posible semejante sacrilegio socrático!

Esta negación socrática tenía sus raíces en el hecho de que para el pensador – libre y en permanente curiosidad por saber – el papiro era una brida al diálogo, al intercambio de conocimiento, a la discusión y profundización sobre uno o varios temas. La reflexión sostenía que estos documentos ponían en riesgo la capacidad de memoria y retención natural de saberes. Al saber de que “todo” estaba contenido en un pergamino, no había razón alguna para esforzase en retener conocimiento, por lo que, el impulso natural de curiosidad estaba en riesgo frente al almacenaje de letras.

Lo llamó la ilusión de la sabiduría.

Ya pasaron más de dos mil años de esa maravillosa leyenda que involucra al rey Ptolomeo I de Egipto quien pidió a su consejero de la corte que reuniera una colección completa de las obras escritas del mundo en un lugar específico. Ptolomeo, que había servido bajo Alejandro Magno, imaginó una biblioteca que salvaguarde la suma total del conocimiento de la humanidad. Estos monumentales escritos se almacenaron en el Mouseion (término griego que significa «Casa de las Musas» y que hace referencia a aquellos santuarios dedicados a estas deidades), una especie de santuario dedicado a la preservación de escritos, incluidos, claro está, los aristotélicos, platónicos entre otros grandes pensadores griegos y no griegos.

Y fue Zenódoto de Éfeso, un célebre gramático griego, considerado como el primer bibliotecario y tuvo a su cargo la primera documentación en orden alfabético. Todo un hito. Fue, precisamente, en esa biblioteca donde Eratóstenes, por ejemplo, calculó la circunferencia de la Tierra y donde se editaron los primeros manuscritos de las epopeyas de Homero. Llegó a almacena más de 700 mil escritos. Que para la época era un logro descomunal.

Para el año 400 d.C., la biblioteca había casi desaparecido por culpa de las llamas provocadas por invasiones y guerras. Su destrucción es, sin duda alguna, la mayor pérdida de conocimiento en la historia y marca el inicio de la llamada Edad Oscura.

En nuestro país, las bibliotecas no están del todo actualizadas por la carencia de presupuestos, falta de ítems de bibliotecarios, ausencia de una política pública que promueva y proteja a estos santuarios del conocimiento. Incluso los archivistas en Bolivia claman por ayuda y levantan la voz, pero sin eco alguno. Están olvidados a su suerte, siendo ellos los guardianes de la memoria institucional de Bolivia. Las librerías sobreviven estoicamente y muchas cerraron sus puertas frente a la imposibilidad de seguir trayendo editoriales accesibles al público. Hoy, un libro, ronda los Bs. 250 en adelante. La ausencia de divisas y su escalada hace casi imposible nutrirse de variedad y de los últimos lanzamientos.

Los quioscos de barrio también están cerrando sus puertas. En España y Argentina, caminar por una avenida o calle y toparse con un revistero era y es – por lo menos para este su servidor – un oasis donde beber de libros, periódicos y revistas literarias. Hoy cada vez hay menos de estos abrevaderos literarios.

Los libros digitales son una opción mucho más económica y abren a los lectores una plataforma de lectura casi instantánea con el acceso a cualquier libro del mundo entero. Es la nueva biblioteca de Alejandría que resucitó de entre las cenizas en cada dispositivo, pantalla digital.

Y acá entramos en lo que se denomina “la paradoja de la lectura», que sostiene que por un lado crece la oferta editorial, pero por el otro, el número de bibliotecas mengua; las librerías se metamorfosean para sobrevivir en cafetines y las redes arrasan como modelos de recomendación de lectura. Un verdadero tsunami digital.

Hoy se lee menos. Muchísimo menos. Hoy estamos viviendo la era del fin de la lectura. De la pausa. De la reflexión. Del diálogo con escritores. Hoy vivimos tiempos de instantaneidad. De liquidez. El conocimiento se escurre entre los dedos. Nada es perenne. La reflexión ha muerto.",https://larazon.bo/lr-article/2026/07/14/la-era-del-fin-de-la-lectura-ha-llegado/
La Razón,2026-07-14,Nacional,Velasco: Corredor internacional en Santa Cruz solo será posible si se aplica el 50/50,"El gobernador de Santa Cruz , Juan Pablo Velasco, informó que apunta a transformar la conectividad regional con la construcción de un corredor carretero que facilite el comercio exterior. Sin embargo, alertó que ese proyecto solo podrá ejecutarse si se aplica la propuesta fiscal del 50/50 sobre el Impuesto a las Transacciones (IT).

“En la anterior gestión se construyeron 23 kilómetros de carreteras y en 60 días estamos proyectando hacer 100 kilómetros; quiero hacer mil kilómetros en cinco años, pero la única forma de hacerlo es manejando nuestros recursos”, dijo Velasco en Red Uno.

Asimismo, explicó que proyecta una conexión internacional estratégica a través de un corredor que unirá San Ignacio con Vila Vela (127 kilómetros) y Roboré con el límite de Paraguay (130 kilómetros), sumando un trazado clave de 250 kilómetros.

Este proyecto vial permitirá el flujo diario de aproximadamente 3.000 camiones provenientes de Mato Grosso con destino al Océano Pacífico.

En criterio de Velasco ese corredor blindará el motor económico del departamento frente a la inestabilidad social que paraliza regiones.

Lea más: Gobernadores apuntan a una propuesta común para impulsar el 50/50

Y consideró que es vital para el aparato productivo y la economía local, con vías alternativas que no dependen del occidente para concretar sus exportaciones.

Indicó, además, que ya exploran alternativas financieras externas para esta red caminera y apunta a un posible financiamiento directo a través del Banco Nacional de Desarrollo Económico y Social (BNDES) de Brasil.

No obstante, al tratarse de una entidad que solo financia a estados, el gobernador recalcó que requieren que el Ejecutivo central adquiera formalmente la deuda para que la gobernación la pague con los ingresos generados por el 50% del IT.

«Solo con el IT podemos adquirir deudas por millones de dólares. Ya no tendríamos deudas con los hospitales y solo con ese impuestos, al año avanzamos con el IVA que es más grande», dijo.

Según Velasco, la descentralización de ese impuesto será un gran cambio para las regiones, pues les otorgará de manera directa una capacidad real de endeudamiento para grandes proyectos.

El proyecto cruceño propone iniciar esta reforma estructural de manera sostenible con el IT, para luego avanzar de forma paulatina con otros tributos nacionales como el RC-IVA, el IVA y el IUE.

Este jueves, Velasco y otros seis gobernadores del país se reunirán en La Paz para conformar un bloque común y ratificar su pedido del 50/50.",https://larazon.bo/nacional/2026/07/14/velasco-corredor-internacional-en-santa-cruz-solo-sera-posible-si-se-aplica-el-50-50/
La Razón,2026-07-14,Sociedad,"Por segundo día consecutivo, no hay atención en hospitales de Santa Cruz","Por segundo día consecutivo, este martes no hay atención en hospitales de Santa Cruz y los médicos mantienen un paro de salud con el argumento que aún no les cancelaron la totalidad de los sueldos del mes de junio.

En el Hospital San Juan de Dios, las consultas externas fueron interrumpidas debido a la medida de presión que acatan los médicos y que este martes se vio reforzada por un paro de 24 horas de los trabajadores en salud, quienes además reclaman el pago del bono viático de vacunación y la reposición de contratos.

Solo el área de emergencias continúa prestando atención.

Desde el Colegio Médico como la Federación de Sindicatos de Ramas Médicas de Salud Pública (Fesirmes), garantizan la atención para las emergencias en los centros de salud y hospitales del departamento.

Lea más: Salud fragmentada retrasa salarios y agrava crisis hospitalaria

Sin embargo, decenas de pacientes están afectados pues tenían citas programadas y en varios casos hasta cirugías.

La Federación de Profesionales en Salud mantiene una medida de presión de carácter indefinido en demanda del pago total de los salarios de junio.

La situación en La Paz es diferente, donde los profesionales de salud atienden con normalidad tras recibir el pago de sus salarios. En Cochabamba, aún no se conoció una posición oficial sobre la atención médica para este martes, pues el lunes los médicos también cumplieron un paro.

El domingo, el Ministerio de Salud anunció que entre lunes y martes haría efectivo el pago de salarios a todo el sector.",https://larazon.bo/sociedad/2026/07/14/por-segundo-dia-consecutivo-no-hay-atencion-en-hospitales-de-santa-cruz/
La Razón,2026-07-14,"Marcas, Mundial 2026","España o Francia, primer gran veredicto hacia la final del Mundial","«No es exagerado hablar de una final anticipada», dijo el seleccionador español, Luis de la Fuente, tras clasificar a su equipo para el duelo de este martes (19H00 GMT) en el Estadio AT&T en Arlington, cerca de Dallas.

Por la ineludible chapa de favoritos, los Bleus y la Roja serán el mayor escollo del otro en su camino hacia la final del domingo, en el MetLife Stadium, a las afueras de Nueva York.

Allí, una de ellas se citará con Argentina o Inglaterra, otras dos campeonas del mundo que en otro duelo histórico deciden su suerte el miércoles en Atlanta.

España llega respaldada por el juego colectivo más convincente del torneo. Solo recibió un gol en seis partidos y fue dejando en el camino a rivales de peso como Portugal y Bélgica sin renunciar a su identidad.

Campeona en 1998 y 2018, en Norteamérica 2026 Francia suma 16 goles y se deshizo con autoridad de huesos duros como Marruecos, Suecia e incluso goleó a la sorpresiva Noruega en fase de grupos.

La pugna también se enfrenta a dos «estilos antagónicos», dice De la Fuente. La Roja busca mandar con la pelota y desgastar al rival desde la posesión, mientras los Bleus se sienten cómodos esperando unos metros más atrás para luego disparar a Kylian Mbappé, Ousmane Dembélé o Michael Olise, sus tres mosqueteros.

Aunque el foco inevitable apunta al pulso entre Mbappé y Lamine Yamal, ningún bando quiere reducir la semifinal a un duelo de estrellas.

«Lamine Yamal puede marcar diferencias, pero España tiene otros jugadores que pueden hacerlo», dijo el entrenador francés Didier Deschamps, que sigue considerándose favorito a la Roja.

Yamal cumplió 19 años en la víspera del partido y llega recuperado de una lesión muscular que condicionó el inicio de su Mundial. El extremo apenas ha marcado un gol, pero ya supo lo que es ser decisivo frente a Francia en la semifinal de la Eurocopa de 2024.

«Ya he dicho que no me preocupan los goles, pero siempre es especial marcar en partidos así y acepta el reto, para eso he venido», dijo el extremo del Barcelona en la rueda de prensa del lunes.

En el segundo renglón de estrellas estará Rodri, que con España vuelve a acercarse al nivel que lo convirtió en Balón de Oro en 2024, y el inspirado Dani Olmo, «un maestro del juego entre líneas», como lo definió De la Fuente.

En Francia, Adrien Rabiot lidera una medular que podría recuperar a Aurélien Tchouaméni, aunque Manu Koné respondió con solvencia durante su ausencia.

En todo caso, De la Fuente viene acostumbrado a mirar hacia el banquillo español y encontrar goles y soluciones. Mikel Merino resolvió con sus tantos en el epílogo los cruces ante Portugal y Bélgica saliendo desde el banco, mientras Fabián Ruiz, Ferran Torres o Pedri han sido felices ruedas de auxilio.

«Pongamos a quien pongamos no nos vamos a equivocar», anticipó el DT.

El de este martes es apenas el segundo cruce entre ambos en un Mundial. El primero fue hace veinte años, cuando Francia remontó 3-1 en los octavos de Alemania 2006 después de que un periódico español publicara en portada el célebre «Vamos a jubilar a Zidane».

El eliminado fue España y el astro francés prolongó su despedida hasta la final de Berlín.

Pero en esta década la ecuación cambió. España derrotó a Francia en las semifinales de la Eurocopa de 2024 y en la Liga de Naciones de 2025, dos antecedentes recientes que alimentan la confianza de la Roja y le descargan presión a los Bleus.

«Siendo conscientes de su gran potencial, también somos el único equipo que les ha ganado en dos semifinales» a los franceses, recordó De la Fuente.

Francia abraza una regularidad extraordinaria tras disputar su tercera semifinal mundialista consecutiva. Y Deschamps, capítulo aparte, puede convertirse en el primer seleccionador que alcance tres finales seguidos.

Antes del pitazo inicial en Arlington, en el partido 101 de la Copa del Mundo, se guardará un minuto de silencio en homenaje a las víctimas del atentado de Niza del 14 de julio de 2016, en el décimo aniversario de la tragedia.

Después hablará el fútbol para decidir cuál de las dos candidatas seguirá en carrera hacia la gloria en el primer Mundial de 48 equipos y cuál tendrá que conformarse con disputar el partido por el antipático tercer puesto, el sábado en Miami.

(14/07/2026)",https://larazon.bo/marcas/2026/07/14/espana-o-francia-primer-gran-veredicto-hacia-la-final-del-mundial/
La Razón,2026-07-14,"Marcas, Mundial 2026",España tiene la clave para frenar a Francia: evitar perder el balón,"«Tenemos que hacer un partido casi perfecto. Tener el balón porque sin él ellos pueden sufrir bastante y, sobre todo, en las pérdidas de balón, que las vamos a tener seguro, vigilar a los cuatro de arriba y no dejarles contragolpear», analizó este lunes ante la prensa el centrocampista Álex Baena, antes del entrenamiento que España realizó en el estadio Cotton Bowl de Dallas.

«Nuestra identidad en el juego es tener la posesión y así lo hemos hecho en cada partido. Obviamente habrá fases del partido en las que no tengamos la pelota y tendremos que estar concentrados, todos juntos», añadió el lateral Pedro Porro, el otro futbolista que atendió a decenas de periodistas este lunes en Dallas, donde llovió por la mañana y la temperatura bajó con respecto a los últimos días.

Ambos jugadores, ante uno de los partidos más importantes de sus carreras, se refirieron también a la figura del seleccionador español, Luis de la Fuente. «Es como un padre para nosotros. Hay jugadores que le conocemos de hace muchos años, que ya estuvimos con él en categorías inferiores (de la Roja) y que siempre nos trasmite paz y tranquilidad», explicó Baena.

«Es una persona muy importante dentro del grupo, sobre todo porque nos hace sentir como una familia. Siempre nos da confianza, te hace sentir importante, juegues o no juegues», agregó Porro.

En un Mundial gigantesco organizado en tres países (Estados Unidos, México y Canadá), España ha tenido que viajar mucho más y ha sufrido varios cambios horarios, mientras que Francia se ha mantenido desde el primer día en la zona noroeste de Estados Unidos y su primer viaje largo ha sido para trasladarse a Dallas, en el centro sur del país.

Baena admitió que los jugadores lo notan «en las piernas y en el cuerpo», pero tanto él como Porro coincidieron en que «no hay excusas».

(14/07/2026)",https://larazon.bo/marcas/2026/07/14/espana-tiene-la-clave-para-frenar-a-francia-evitar-perder-el-balon/
La Razón,2026-07-14,"Marcas, Mundial 2026","Mbappé, contrario de blanco pero desatado de azul","Pese a no haber logrado ningún título estos últimos dos años, el Real Madrid ha logrado un reconocimiento extraoficial durante el torneo de Norteamérica.

Con 19 goles anotados en el presente Mundial por jugadores del Real Madrid, el club blanco se convierte en el más prolífico en un torneo mundialista, superando al Bayern Múnich y al París Saint-Germain, que lograron 18 goles respectivamente en 2014 y 2022.

Una dato que sorprende todavía más si se tiene en cuenta que, por primera vez en la historia, no contaba con ningún jugador convocado por España, estadística ahora alterada tras el anuncio en pleno torneo del fichaje de Marc Cucurella.

Seis de esos 19 goles llevan la firma del inglés Jude Bellingham, pero Mbappé, con ocho dianas, lidera la tabla de goleadores del torneo junto al argentino Lionel Messi.

El Mundial, torneo en el que en 2018 alcanzó el rango de estrella del fútbol, ​​es la competición fetiche de Mbappé, que está decidida a lograr la tercera estrella de los galos.

Cuando llega el momento de enfrentarse a la Roja por un hueco en la final, la increíble forma del capitán francés parece validar la tesis de varios periodistas y aficionados del Real Madrid, que le reprochan un final de temporada a medio gas con el objetivo de llegar en plena forma al Mundial, un pecado imperdonable en uno de los clubes más exigentes del mundo.

Deportivamente, el segundo año de Mbappé en el Real Madrid ha sido especialmente frustrante, tras caer en cuartos de final de la Liga de Campeones contra el Bayern Munich y tras haber sido descolgado rápidamente de la lucha por el campeonato doméstico contra el FC Barcelona.

El atacante francés sí logró grandes estadísticas individuales, con 42 goles en los 44 partidos disputados entre todas las competiciones, finalizando como ‘Pichichi’ (máximo goleador de LaLiga) con 25 dianas anotadas.

Un rendimiento que no ha librado al francés de tener roces con la idiosincrasia de un club en el que solo el metal de los títulos calma las aguas.

En mayo, luego de un partido de LaLiga contra el Oviedo, el ariete cargó contra su entrenador Álvaro´Arbeloa por haberlo dejado en el banquillo luego de tres semanas de baja.

«Es su decisión (del entrenador), no puedo estar enfadado con la decisión de un míster. Hay que respetar siempre la opinión de un míster y me toca a mí trabajar duro», explicó.

«Estoy muy bien, 100%. No he jugado porque el míster me ha dicho que para él soy el cuarto delantero de la plantilla detrás de (Franco) Mastantuono, Vini y Gonzalo (García)», añadió Mbappé, unas declaraciones que provocaron el enfado de una afición que silbó al francés en su siguiente reaparición.

También hizo saltar chispas la gestión de su lesión en la rodilla izquierda el mes de marzo, que obligó a Mbappé a tener que negar un error de diagnóstico por parte de los médicos del Real Madrid.

Unas explicaciones que no convencieron y que alimentaron la naciente incomprensión entre la estrella, un club bajo el estrés de no lograr títulos, y una afición frustrada por segundo año consecutivo.

Desde entonces, el Real Madrid ha cambiado de equipo médico y también de entrenador. Para no repetir el fiasco de Xabi Alonso y las dificultades de Arbeloa, el club blanco ha recurrido a los servicios de José Mourinho, llamado de nuevo para sacar al club de su crisis.

Poco después de ser nombrado, el entrenador portugués ironizó, deseando que sus jugadores «perdieran lo más rápidamente posible durante el Mundial».

En un tono más serio, en una entrevista acorde a la revista Vanity Fair, Mourinho habló de su nueva estrella.

«Lo único que puedo decir sobre Kylian Mbappé es que es un jugador fenomenal, y voy a tratar de ayudarle a ser todavía mejor».

Los aficionados del Real Madrid desean sobre todo que Mbappé brille con su club con la misma fuerza con la que lo está haciendo con Francia en Norteamérica.

Aunque quizás no le deseen tanto acierto el martes contra España.

(14/07/2026)",https://larazon.bo/marcas/2026/07/14/mbappe-contrario-de-blanco-pero-desatado-de-azul/
La Razón,2026-07-14,"Marcas, Mundial 2026",El Mundial entra en semifinales con España deseando afinar a Yamal,"Tras una previa repleta de polémicas extradeportivas y una competencia tan emotiva como sorprendente, la Copa del Mundo celebrará los cuatro últimos partidos de los 104 juegos programados en Estados Unidos, Canadá y México.

Las semifinales son la antesala de la final que se jugará el domingo en el MetLife Stadium, a las afueras de Nueva York. Los perdedores pugnarán por el tercer puesto el sábado en Miami.

España y Francia definirán el primer finalista el martes en Arlington, cerca de Dallas, y Argentina e Inglaterra completarán el cuadro el miércoles en Atlanta.

Los cuatro cotejos se jugarán en territorio estadounidense, que albergará el 75% de los encuentros del primer Mundial realizados en tres países y con 48 equipos.

La pasarela de la Copa del Mundo, que echó a andar el 11 de junio, ha visto brillar a la mayoría de jugadores llamados a marcar diferencia, desde Lionel Messi hasta Kylian Mbappé y Harry Kane.

Pero el español Lamine Yamal, considerado por muchos el futbolista más prometedor del planeta, ha estado un par de escalones por debajo de los otros cracks.

La joya del FC Barcelona, ​​que cumple 19 años este lunes, apenas ha anotado un gol en los seis partidos de la Roja, que sufrió para llegar a la ronda de los cuatro mejores por segunda vez en la historia.

Sus números distan muchísimo de los ocho tantos anotados por Messi y Mbappé, los máximos artilleros mundialistas, o los seis de Kane.

«Ya he dicho que no me preocupan los goles, pero siempre es especial marcar en partidos así y acepta el reto, para eso he venido», lanzó el juvenil este lunes.

Pero aparte de sus estadísticas la influencia de su juego apenas ha hecho mella en el equipo de Luis de la Fuente, verdugo de Portugal (1-0) en octavos y de Bélgica (2-1) en cuartos con tantos in extremis del revulsivo Mikel Merino.

Yamal llegó a Norteamérica en 2026 arrastrando una lesión en el tendón de la corva de la pierna izquierda. La molestia lo marginó de parte de la recta final de la temporada del Barça, que se coronó campeón de la liga de España.

Y parece, también, que sus secuelas han menguado su nivel en su primera participación en el máximo evento del fútbol, ​​donde su país busca su segunda corona tras la ganada en Sudáfrica 2010.

«Creo que Lamine necesita calmar un poco esa que tiene a veces de demostrar. Es un jugador que es importante ansiedad para nosotros por lo que hace con y sin balón», dijo el capitán español, Rodri, el domingo a periodistas.

El destino ha citado a su país con los Bleus, el equipo que probablemente ha mostrado el mejor nivel en la Copa del Mundo y que cuenta con un plantel envidiable: Mbappé, Michael Olise, Ousmane Dembélé, Adrien Rabiot, Dayot Upamecano…

«Puede ser un partido espectacular por la calidad ofensiva de los dos equipos, pero creo que tanto Luis como yo también pensamos en cómo defensor», dijo el seleccionador galo, Didier Deschamps, el lunes en rueda de prensa.

Yamal podría darse cuenta del mejor regalo de cumpleaños volviendo a su mejor nivel ante Francia. Se trata de un rival al que ya noqueó en el pasado y también en unas semifinales, las de la Eurocopa 2024, el último torneo conquistado por la Roja.

El prodigio ibérico anotó entonces la primera diana de la victoria 2-1 en Múnich, días antes de cumplir los 17 años.

«El fútbol lo lleva dentro, simplemente es encontrar el momento idóneo y contra Francia esperamos que sea importante para nosotros», afirmó Rodri.

Otro jugador que sopló las velitas durante la Copa del Mundo, Lionel Messi, que cumplió 39 años el 24 de junio, observará atentamente el destino de su heredero en el Barcelona mientras se prepara para encarar lo desconocido.

Considerado por muchos el mejor futbolista de la historia, el Diez se ha enfrentado, y vencido, a todas las grandes selecciones del mundo.

Pero nunca se ha enfrentado a su rival del miércoles, Inglaterra, un país con el que Argentina tiene una rivalidad que sobrepasa la pelota.

«Jugué contra todos menos contra Inglaterra y es especial porque es una selección grande, una potencia y siempre es lindo jugar contra una selección así», dijo Messi, tras eliminar 3-1 a Suiza en la prórroga el sábado.

La Pulga está empeñada en liderar a una Albiceleste titubeante hacia su segunda corona consecutiva.

(14/07/2026)",https://larazon.bo/marcas/2026/07/14/el-mundial-entra-en-semifinales-con-espana-deseando-afinar-a-yamal/
La Razón,2026-07-14,Sociedad,Salud reconoce deuda y garantiza pagos para atención de pacientes renales y con cáncer,"Luego de la instalación de un piquete de huelga de hambre de pacientes renales en el hospital Agramont en la ciudad de El Alto, el Ministerio de Salud dice que recibió la entidad con una deuda de Bs 500 millones para prestaciones y garantizó que se paga “progresivamente”.

Representantes de enfermos renales denunciaron el lunes que hasta el momento ya son 10 meses que se les debe a diferentes centros de hemodiálisis, lo que genera temor en este grupo pues se corre el riesgo de que los centros dejen de atender por falta de recursos.

El sector informó que ya se firmaron dos convenios con las autoridades, el último el 6 de junio, pero hasta el momento no se habrían realizado los pagos correspondientes para asegurar la continuidad de los tratamientos.

Este martes, la directora administrativa del Ministerio de Salud, Carol Orozco, reconoció que el Gobierno recibió una deuda de Bs 500 millones por prestaciones de salud que incluye a pacientes renales, con cáncer y unidades de UCIN y UTIN, que atienden pacientes neonatales.

Lea más: Por segundo día consecutivo, no hay atención en hospitales de Santa Cruz

En ese contexto, dijo que los pagos se están realizando de forma progresiva desde noviembre de 2024.

“Hemos recibido un ministerio con 500.000.000 de deuda que data incluso de marzo de 2024”, explicó Orozco en Unitel y agregó que el actual gobierno está pagando varias deudas y “estamos terminando de cerrar el 2024 para que podamos continuar con el 2025”.

Asimismo, informó que en las últimas dos semanas pagaron cerca de Bs 19 millones y para esta semana prevén desembolsar otros Bs 13 millones.

Sin embargo, preció que se han tenido inconvenientes para procesar los pagos pues en varias entidades privadas y públicas que prestan este servicio presentan de manera incorrecta la información, lo que “genera muchas observaciones y se devuelven a sus orígenes”.",https://larazon.bo/sociedad/2026/07/14/salud-reconoce-deuda-y-garantiza-pagos-para-atencion-de-pacientes-renales-y-con-cancer/
La Razón,2026-07-14,"Marcas, Mundial 2026","Francia ‘no teme a nadie’, avisa Rabiot","De esta manera, el volante de los Bleus dio respuesta al atacante español Lamine Yamal, que había iniciado el viernes las hostilidades con mensajes a través de los medios de prensa.

«Si Francia debe temer a alguien, es a nosotros», soltó el juvenil que este lunes cumplió 19 años al micrófono de la televisión española TVE. «Fuimos nosotros quienes les eliminamos la última vez. Ya veremos qué pasa».

El astro del Barcelona agregó: «Hay dos opciones, que ellos lleguen a tres finales seguidas (del Mundial) o que nosotros les ganemos tres veces seguidas, vamos a ver qué ocurre. No tenemos ningún miedo».

Rabiot, pilar del centro del campo de los Bleus, afirmó también que «no habrá un plan anti-Yamal», verdugo de la selección francesa en las semifinales de la Eurocopa 2024 (2-1) y de la Liga de Naciones en 2025 (5-4).

«Nos concentramos en la selección española. No nos centramos en un solo jugador. Sabemos que son peligrosos en todos los aspectos, ya sea él, ya sea en ataque, en la posesión del balón, en los pequeños espacios cerca del área, en el juego combinado. Así que hay que centrado en eso y no creo que necesariamente en una individualidad», detalló.

Rabiot, del AC Milan, insistió también en la «ósmosis» y la «cohesión» que reinan en el seno de los Bleus.

«Está el hecho de convivir bien. Fuera del campo, todo funciona muy bien y creo que eso representa una gran parte de este éxito. También hay cosas que nos han unido, por ejemplo, las dificultades que ha vivido el seleccionador (Didier Deschamps perdió a su madre al inicio del torneo)», señaló Rabiot.

(14/07/2026)",https://larazon.bo/marcas/2026/07/14/francia-no-teme-a-nadie-avisa-rabiot/
